play_name,character,act,scene,sentence,text,Unnamed: 6,Unnamed: 7,Unnamed: 8,tokens
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,1,"Not marching now in fields of Thrasymene,",,,,"['marching', 'fields', 'Thrasymene']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,2,Where Mars did mate the Carthaginians;,,,,"['Mars', 'mate', 'Carthaginians']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,3,"Nor sporting in the dalliance of love,",,,,"['sporting', 'dalliance', 'love']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,4,In courts of kings where state is overturn?d;,,,,"['courts', 'kings', 'state', 'overturn', '\x99d']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,5,"Nor in the pomp of proud audacious deeds,",,,,"['pomp', 'proud', 'audacious', 'deeds']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,6,Intends our Muse to vaunt her heavenly verse:,,,,"['Intends', 'Muse', 'vaunt', 'heavenly', 'verse']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,7,"Only this, gentlemen,?we must perform",,,,"['gentlemen', '\x94we', 'must', 'perform']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,8,"The form of Faustus??fortunes, good or bad:",,,,"['form', 'Faustus', 'fortunes', 'good', 'bad']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,9,"To patient judgments we appeal our plaud,",,,,"['patient', 'judgments', 'appeal', 'plaud']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,10,And speak for Faustus in his infancy.,,,,"['speak', 'Faustus', 'infancy']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,11,"Now is he born, his parents base of stock,",,,,"['born', 'parents', 'base', 'stock']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,12,"In Germany, within a town call?d Rhodes:",,,,"['Germany', 'within', 'town', 'call', '\x99d', 'Rhodes']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,13,"Of riper years, to Wertenberg he went,",,,,"['riper', 'years', 'Wertenberg', 'went']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,14,Whereas his kinsmen chiefly brought him up.,,,,"['Whereas', 'kinsmen', 'chiefly', 'brought']"
