play_name,character,act,scene,sentence,text
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,1,"Not marching now in fields of Thrasymene,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,2,Where Mars did mate the Carthaginians;
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,3,"Nor sporting in the dalliance of love,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,4,In courts of kings where state is overturn’d;
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,5,"Nor in the pomp of proud audacious deeds,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,6,Intends our Muse to vaunt her heavenly verse:
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,7,"Only this, gentlemen,—we must perform"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,8,"The form of Faustus’ fortunes, good or bad:"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,9,"To patient judgments we appeal our plaud,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,10,And speak for Faustus in his infancy.
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,11,"Now is he born, his parents base of stock,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,12,"In Germany, within a town call’d Rhodes:"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,13,"Of riper years, to Wertenberg he went,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,14,Whereas his kinsmen chiefly brought him up.
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,15,"So soon he profits in divinity,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,16,"The fruitful plot of scholarism grac’d,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,17,"That shortly he was grac’d with doctor’s name,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,18,Excelling all whose sweet delight disputes
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,19,In heavenly matters of theology;
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,20,"Till swoln with cunning, of a self-conceit,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,21,"His waxen wings did mount above his reach,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,22,"And, melting, heavens conspir’d his overthrow;"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,23,"For, falling to a devilish exercise,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,24,"And glutted now with learning’s golden gifts,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,25,He surfeits upon cursed necromancy;
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,26,"Nothing so sweet as magic is to him,"
