play_name,character,act,scene,sentence,text
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"Brother Cosroe, I find myself agriev'd;"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,"Yet insufficient to express the same,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,3,For it requires a great and thundering speech:
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,4,"Good brother, tell the cause unto my lords;"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,5,I know you have a better wit than I.
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,1,"Unhappy Persia,?”that in former age"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,2,"Hast been the seat of mighty conquerors,"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,3,"That, in their prowess and their policies,"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,4,"Have triumph'd over Afric,  and the bounds"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,5,Of Europe where the sun dares scarce appear
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,6,"For freezing meteors and congealed cold,"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,7,Now to be rul'd and govern'd by a man
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,8,"At whose birth-day Cynthia with Saturn join'd,"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,9,"And Jove, the Sun, and Mercury denied"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,10,To shed their  influence in his fickle brain!
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,11,"Now Turks and Tartars shake their swords at thee,"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,12,Meaning to mangle all thy provinces.
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"Brother, I see your meaning well enough,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,And through  your planets I perceive you think
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,3,I am not wise enough to be a king:
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,4,"But I refer me to my noblemen,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,5,"That know my wit, and can be witnesses."
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,6,"I might command you to be slain for this,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,7,"Meander, might I not?"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,1,"Not for so small a fault, my sovereign lord."
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"I mean it not, but yet I know I might."
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,"Yet live; yea, live; Mycetes wills it so."
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,3,"Meander, thou, my faithful counsellor,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,4,"Declare the cause of my conceived grief,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,5,"Which is, God knows, about that Tamburlaine,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,6,"That, like a fox in midst of harvest-time,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,7,Doth prey upon my flocks of passengers;
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,8,"And, as I hear, doth mean to pull my plumes:"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,9,Therefore 'tis good and meet for to be wise.
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,1,Oft have I heard your majesty complain
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,2,"Of Tamburlaine, that sturdy Scythian thief,"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,3,That robs your merchants of Persepolis
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,4,"Trading by land unto the Western Isles,"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,5,And in your confines with his lawless train
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,6,"Daily commits incivil  outrages,"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,7,Hoping (misled by dreaming prophecies)
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,8,"To reign in Asia, and with barbarous arms"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,9,To make himself the monarch of the East:
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,10,"But, ere he march in Asia, or display"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,11,"His vagrant ensign in the Persian fields,"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,12,"Your grace hath taken order by Theridamas,"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,13,"Charg'd with a thousand horse, to apprehend"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,14,And bring him captive to your highness' throne.
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"Full true thou speak'st, and like thyself, my lord,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,Whom I may term a Damon for thy love:
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,3,"Therefore 'tis best, if so it like you all,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,4,To send my thousand horse incontinent
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,5,To apprehend that paltry Scythian.
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,6,"How like you this, my honourable lords?"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,7,Is it not a kingly resolution?
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,1,"It cannot choose, because it comes from you."
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"Then hear thy charge, valiant Theridamas,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,"The chiefest  captain of Mycetes' host,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,3,"The hope of Persia, and the very legs"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,4,"Whereon our state doth lean as on a staff,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,5,That holds us up and foils our neighbour foes:
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,6,"Thou shalt be leader of this thousand horse,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,7,Whose foaming gall with rage and high disdain
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,8,Have sworn the death of wicked Tamburlaine.
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,9,"Go frowning forth; but come thou smiling home,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,10,As did Sir Paris with the Grecian dame:
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,11,Return with speed; time passeth swift away;
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,12,"Our life is frail, and we may die to-day."
Tamburlaine the Great-Part1,THERIDAMAS,SCENE I.,SCENE I.,1,"Before the moon renew her borrow'd light,"
Tamburlaine the Great-Part1,THERIDAMAS,SCENE I.,SCENE I.,2,"Doubt not, my lord and gracious sovereign,"
Tamburlaine the Great-Part1,THERIDAMAS,SCENE I.,SCENE I.,3,But Tamburlaine and that Tartarian rout
Tamburlaine the Great-Part1,THERIDAMAS,SCENE I.,SCENE I.,4,"Shall either perish by our warlike hands,"
Tamburlaine the Great-Part1,THERIDAMAS,SCENE I.,SCENE I.,5,Or plead for mercy at your highness' feet.
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"Go, stout Theridamas; thy words are swords,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,And with thy looks thou conquerest all thy foes.
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,3,"I long to see thee back return from thence,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,4,That I may view these milk-white steeds of mine
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,5,"All loaden with the heads of killed men,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,6,"And, from their knees even to their hoofs below,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,7,Besmear'd with blood that makes a dainty show.
Tamburlaine the Great-Part1,THERIDAMAS,SCENE I.,SCENE I.,1,"Then now, my lord, I humbly take my leave."
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"Theridamas, farewell ten thousand times."
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,"Ah, Menaphon, why stay'st thou thus behind,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,3,When other men press  forward for renown?
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,4,"Go, Menaphon, go into Scythia,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,5,And foot by foot follow Theridamas.
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,1,"Nay, pray you,  let him stay; a greater"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,2,Fits Menaphon than warring with a thief:
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,3,"Create him pro-rex of all  Africa,"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,4,"That he may win the Babylonians' hearts,"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,5,"Which will revolt from Persian government,"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,6,Unless they have a wiser king than you.
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,Unless they have a wiser king than you!
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,"These are his words; Meander, set them down."
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,1,"And add this to them,?”that all Asia"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,2,Lament to see the folly of their king.
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"Well, here I swear by this my royal seat"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,1,"You may do well to kiss it, then."
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"Emboss'd with silk as best beseems my state,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,To be reveng'd for these contemptuous words!
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,3,"O, where is duty and allegiance now?"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,4,Fled to the Caspian or the Ocean main?
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,5,"What shall I call thee? brother? no, a foe;"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,6,"Monster of nature, shame unto thy stock,"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,7,That dar'st presume thy sovereign for to mock!
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,8,"Meander, come:  I am abus'd, Meander."
Tamburlaine the Great-Part1,MENAPHON,SCENE I.,SCENE I.,1,"How now, my lord! what, mated  and amaz'd"
Tamburlaine the Great-Part1,MENAPHON,SCENE I.,SCENE I.,2,To hear the king thus threaten like himself!
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,1,"Ah, Menaphon, I pass not  for his threats!"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,2,The plot is laid by Persian noblemen
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,3,And captains of the Median garrisons
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,4,To crown me emperor of Asia:
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,5,But this it is that doth excruciate
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,6,"The very substance of my vexed soul,"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,7,"To see our neighbours, that were wont to quake"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,8,"And tremble at the Persian monarch's name,"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,9,Now sit and laugh our regiment  to scorn;
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,10,"And that which might resolve  me into tears,"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,11,Men from the farthest equinoctial line
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,12,"Have swarm'd in troops into the Eastern India,"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,13,"Lading their ships  with gold and precious stones,"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,14,And made their spoils from all our provinces.
Tamburlaine the Great-Part1,MENAPHON,SCENE I.,SCENE I.,1,"This should entreat your highness to rejoice,"
Tamburlaine the Great-Part1,MENAPHON,SCENE I.,SCENE I.,2,Since Fortune gives you opportunity
Tamburlaine the Great-Part1,MENAPHON,SCENE I.,SCENE I.,3,To gain the title of a conqueror
Tamburlaine the Great-Part1,MENAPHON,SCENE I.,SCENE I.,4,By curing of this maimed empery.
Tamburlaine the Great-Part1,MENAPHON,SCENE I.,SCENE I.,5,"Afric and Europe bordering on your land,"
Tamburlaine the Great-Part1,MENAPHON,SCENE I.,SCENE I.,6,"And continent to your dominions,"
Tamburlaine the Great-Part1,MENAPHON,SCENE I.,SCENE I.,7,"How easily may you, with a mighty host,"
Tamburlaine the Great-Part1,MENAPHON,SCENE I.,SCENE I.,8,"Pass  into Graecia, as did Cyrus once,"
Tamburlaine the Great-Part1,MENAPHON,SCENE I.,SCENE I.,9,"And cause them to withdraw their forces home,"
Tamburlaine the Great-Part1,MENAPHON,SCENE I.,SCENE I.,10,Lest you  subdue the pride of Christendom!
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,1,"But, Menaphon, what means this trumpet's sound?"
Tamburlaine the Great-Part1,MENAPHON,SCENE I.,SCENE I.,1,"Behold, my lord, Ortygius and the rest"
Tamburlaine the Great-Part1,MENAPHON,SCENE I.,SCENE I.,2,Bringing the crown to make you emperor!
Tamburlaine the Great-Part1,ORTYGIUS,SCENE I.,SCENE I.,1,"Magnificent and mighty prince Cosroe,"
Tamburlaine the Great-Part1,ORTYGIUS,SCENE I.,SCENE I.,2,"We, in the name of other Persian states"
Tamburlaine the Great-Part1,ORTYGIUS,SCENE I.,SCENE I.,3,"And commons of this mighty monarchy,"
Tamburlaine the Great-Part1,ORTYGIUS,SCENE I.,SCENE I.,4,Present thee with th' imperial diadem.
Tamburlaine the Great-Part1,CENEUS,SCENE I.,SCENE I.,1,"The warlike soldiers and the gentlemen,"
Tamburlaine the Great-Part1,CENEUS,SCENE I.,SCENE I.,2,That heretofore have fill'd Persepolis
Tamburlaine the Great-Part1,CENEUS,SCENE I.,SCENE I.,3,"With Afric captains taken in the field,"
Tamburlaine the Great-Part1,CENEUS,SCENE I.,SCENE I.,4,"Whose ransom made them march in coats of gold,"
Tamburlaine the Great-Part1,CENEUS,SCENE I.,SCENE I.,5,"With costly jewels hanging at their ears,"
Tamburlaine the Great-Part1,CENEUS,SCENE I.,SCENE I.,6,"And shining stones upon their lofty crests,"
Tamburlaine the Great-Part1,CENEUS,SCENE I.,SCENE I.,7,"Now living idle in the walled towns,"
Tamburlaine the Great-Part1,CENEUS,SCENE I.,SCENE I.,8,"Wanting both pay and martial discipline,"
