play_name,character,act,scene,sentence,text,tokens
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"Brother Cosroe, I find myself agriev'd;","['Brother', 'Cosroe', 'find', 'agriev']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,"Yet insufficient to express the same,","['Yet', 'insufficient', 'express']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,3,For it requires a great and thundering speech:,"['requires', 'great', 'thundering', 'speech']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,4,"Good brother, tell the cause unto my lords;","['Good', 'brother', 'tell', 'cause', 'unto', 'lords']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,5,I know you have a better wit than I.,"['know', 'better', 'wit']"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,1,"Unhappy Persia,?that in former age","['Unhappy', 'Persia', '\x94that', 'former', 'age']"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,2,"Hast been the seat of mighty conquerors,","['seat', 'mighty', 'conquerors']"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,3,"That, in their prowess and their policies,","['prowess', 'policies']"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,4,"Have triumph'd over Afric,  and the bounds","['triumph', 'Afric', 'bounds']"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,5,Of Europe where the sun dares scarce appear,"['Europe', 'sun', 'dares', 'scarce', 'appear']"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,6,"For freezing meteors and congealed cold,","['freezing', 'meteors', 'congealed', 'cold']"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,7,Now to be rul'd and govern'd by a man,"['rul', 'govern', 'man']"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,8,"At whose birth-day Cynthia with Saturn join'd,","['whose', 'birth-day', 'Cynthia', 'Saturn', 'join']"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,9,"And Jove, the Sun, and Mercury denied","['Jove', 'Sun', 'Mercury', 'denied']"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,10,To shed their  influence in his fickle brain!,"['shed', 'influence', 'fickle', 'brain']"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,11,"Now Turks and Tartars shake their swords at thee,","['Turks', 'Tartars', 'shake', 'swords']"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,12,Meaning to mangle all thy provinces.,"['Meaning', 'mangle', 'provinces']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"Brother, I see your meaning well enough,","['Brother', 'see', 'meaning', 'well', 'enough']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,And through  your planets I perceive you think,"['planets', 'perceive', 'think']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,3,I am not wise enough to be a king:,"['wise', 'enough', 'king']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,4,"But I refer me to my noblemen,","['refer', 'noblemen']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,5,"That know my wit, and can be witnesses.","['know', 'wit', 'witnesses']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,6,"I might command you to be slain for this,","['might', 'command', 'slain']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,7,"Meander, might I not?","['Meander', 'might']"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,1,"Not for so small a fault, my sovereign lord.","['small', 'fault', 'sovereign', 'lord']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"I mean it not, but yet I know I might.","['mean', 'yet', 'know', 'might']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,"Yet live; yea, live; Mycetes wills it so.","['Yet', 'live', 'yea', 'live', 'Mycetes', 'wills']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,3,"Meander, thou, my faithful counsellor,","['Meander', 'faithful', 'counsellor']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,4,"Declare the cause of my conceived grief,","['Declare', 'cause', 'conceived', 'grief']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,5,"Which is, God knows, about that Tamburlaine,","['God', 'knows', 'Tamburlaine']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,6,"That, like a fox in midst of harvest-time,","['like', 'fox', 'midst', 'harvest-time']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,7,Doth prey upon my flocks of passengers;,"['Doth', 'prey', 'upon', 'flocks', 'passengers']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,8,"And, as I hear, doth mean to pull my plumes:","['hear', 'doth', 'mean', 'pull', 'plumes']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,9,Therefore 'tis good and meet for to be wise.,"['Therefore', ""'t"", 'good', 'meet', 'wise']"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,1,Oft have I heard your majesty complain,"['Oft', 'heard', 'majesty', 'complain']"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,2,"Of Tamburlaine, that sturdy Scythian thief,","['Tamburlaine', 'sturdy', 'Scythian', 'thief']"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,3,That robs your merchants of Persepolis,"['robs', 'merchants', 'Persepolis']"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,4,"Trading by land unto the Western Isles,","['Trading', 'land', 'unto', 'Western', 'Isles']"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,5,And in your confines with his lawless train,"['confines', 'lawless', 'train']"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,6,"Daily commits incivil  outrages,","['Daily', 'commits', 'incivil', 'outrages']"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,7,Hoping (misled by dreaming prophecies),"['Hoping', 'misled', 'dreaming', 'prophecies']"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,8,"To reign in Asia, and with barbarous arms","['reign', 'Asia', 'barbarous', 'arms']"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,9,To make himself the monarch of the East:,"['make', 'monarch', 'East']"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,10,"But, ere he march in Asia, or display","['march', 'Asia', 'display']"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,11,"His vagrant ensign in the Persian fields,","['vagrant', 'ensign', 'Persian', 'fields']"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,12,"Your grace hath taken order by Theridamas,","['grace', 'taken', 'order', 'Theridamas']"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,13,"Charg'd with a thousand horse, to apprehend","['Charg', 'thousand', 'horse', 'apprehend']"
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,14,And bring him captive to your highness' throne.,"['bring', 'captive', 'highness', 'throne']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"Full true thou speak'st, and like thyself, my lord,","['Full', 'true', ""speak'st"", 'like', 'thyself', 'lord']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,Whom I may term a Damon for thy love:,"['may', 'term', 'Damon', 'love']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,3,"Therefore 'tis best, if so it like you all,","['Therefore', ""'t"", 'best', 'like']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,4,To send my thousand horse incontinent,"['send', 'thousand', 'horse', 'incontinent']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,5,To apprehend that paltry Scythian.,"['apprehend', 'paltry', 'Scythian']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,6,"How like you this, my honourable lords?","['like', 'honourable', 'lords']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,7,Is it not a kingly resolution?,"['kingly', 'resolution']"
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,1,"It cannot choose, because it comes from you.","['choose', 'comes']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"Then hear thy charge, valiant Theridamas,","['hear', 'charge', 'valiant', 'Theridamas']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,"The chiefest  captain of Mycetes' host,","['chiefest', 'captain', 'Mycetes', 'host']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,3,"The hope of Persia, and the very legs","['hope', 'Persia', 'legs']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,4,"Whereon our state doth lean as on a staff,","['Whereon', 'state', 'doth', 'lean', 'staff']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,5,That holds us up and foils our neighbour foes:,"['holds', 'foils', 'neighbour', 'foes']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,6,"Thou shalt be leader of this thousand horse,","['shalt', 'leader', 'thousand', 'horse']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,7,Whose foaming gall with rage and high disdain,"['Whose', 'foaming', 'gall', 'rage', 'high', 'disdain']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,8,Have sworn the death of wicked Tamburlaine.,"['sworn', 'death', 'wicked', 'Tamburlaine']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,9,"Go frowning forth; but come thou smiling home,","['Go', 'frowning', 'forth', 'come', 'smiling', 'home']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,10,As did Sir Paris with the Grecian dame:,"['Sir', 'Paris', 'Grecian', 'dame']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,11,Return with speed; time passeth swift away;,"['Return', 'speed', 'time', 'passeth', 'swift', 'away']"
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,12,"Our life is frail, and we may die to-day.","['life', 'frail', 'may', 'die', 'to-day']"
Tamburlaine the Great-Part1,THERIDAMAS,SCENE I.,SCENE I.,1,"Before the moon renew her borrow'd light,","['moon', 'renew', 'borrow', 'light']"
Tamburlaine the Great-Part1,THERIDAMAS,SCENE I.,SCENE I.,2,"Doubt not, my lord and gracious sovereign,","['Doubt', 'lord', 'gracious', 'sovereign']"
Tamburlaine the Great-Part1,THERIDAMAS,SCENE I.,SCENE I.,3,But Tamburlaine and that Tartarian rout,"['Tamburlaine', 'Tartarian', 'rout']"
Tamburlaine the Great-Part1,THERIDAMAS,SCENE I.,SCENE I.,4,"Shall either perish by our warlike hands,","['Shall', 'either', 'perish', 'warlike', 'hands']"
Tamburlaine the Great-Part1,THERIDAMAS,SCENE I.,SCENE I.,5,Or plead for mercy at your highness' feet.,"['plead', 'mercy', 'highness', 'feet']"
