play_name,character,act,scene,sentence,text
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,1,"Egregious viceroys of these eastern parts,"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,2,"Plac'd by the issue of great Bajazeth,"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,3,"And sacred lord, the mighty Callapine,"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,4,Who lives in Egypt prisoner to that slave
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,5,"Which kept his father in an iron cage,"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,6,Now have we march'd from fair Natolia
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,7,"Two hundred leagues, and on Danubius' banks"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,8,"Our warlike host, in complete armour, rest,"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,9,"Where Sigismund, the king of Hungary,"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,10,Should meet our person to conclude a truce:
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,11,What! shall we parle with the Christian?
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,12,"Or cross the stream, and meet him in the field?"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,1,"King of Natolia, let us treat of peace:"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,2,"We all are glutted with the Christians' blood,"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,3,"And have a greater foe to fight against,"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,4,"Proud Tamburlaine, that now in Asia,"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,5,"Near Guyron's head, doth set his conquering feet,"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,6,And means to fire Turkey as he goes:
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,7,"'Gainst him, my lord, you must address your power."
Tamburlaine the Great-Part2,URIBASSA,SCENE I.,none,1,"Besides, King Sigismund hath brought from Christendom"
Tamburlaine the Great-Part2,URIBASSA,SCENE I.,none,2,"More than his camp of stout Hungarians,"
Tamburlaine the Great-Part2,URIBASSA,SCENE I.,none,3,"Sclavonians, Almains, Rutters,  Muffs, and Danes,"
