play_name,character,act,scene,sentence,text,tokens,sentiment_score
The Jew of Malta,BARABAS,1,none,1,So that of thus much that return was made;,"['thus', 'much', 'return', 'made']",0.107932709
The Jew of Malta,BARABAS,1,none,2,And of the third part of the Persian ships,"['third', 'part', 'Persian', 'ships']",-0.06229008
The Jew of Malta,BARABAS,1,none,3,There was the venture summ'd and satisfied.,"['venture', 'summ', 'satisfied']",0.246169627
The Jew of Malta,BARABAS,1,none,4,"As for those Samnites,  and the men of Uz,","['Samnites', 'men', 'Uz']",-0.074214295
The Jew of Malta,BARABAS,1,none,5,"That bought my Spanish oils and wines of Greece,","['bought', 'Spanish', 'oils', 'wines', 'Greece']",0.116492219
The Jew of Malta,BARABAS,1,none,6,Here have I purs'd their paltry silverlings.,"['purs', 'paltry', 'silverlings']",-0.322208188
The Jew of Malta,BARABAS,1,none,7,"Fie, what a trouble 'tis to count this trash!","['trouble', ""'t"", 'count', 'trash']",-0.893579357
The Jew of Malta,BARABAS,1,none,8,"Well fare the Arabians, who so richly pay","['Well', 'fare', 'Arabians', 'richly', 'pay']",0.133377701
The Jew of Malta,BARABAS,1,none,9,"The things they traffic for with wedge of gold,","['things', 'traffic', 'wedge', 'gold']",-0.142144985
The Jew of Malta,BARABAS,1,none,10,Whereof a man may easily in a day,"['Whereof', 'man', 'may', 'easily', 'day']",-0.035432599
The Jew of Malta,BARABAS,1,none,11,Tell  that which may maintain him all his life.,"['Tell', 'may', 'maintain', 'life']",0.206123685
The Jew of Malta,BARABAS,1,none,12,"The needy groom, that never finger'd groat,","['needy', 'groom', 'never', 'finger', 'groat']",-0.382360429
The Jew of Malta,BARABAS,1,none,13,Would make a miracle of thus much coin;,"['Would', 'make', 'miracle', 'thus', 'much', 'coin']",0.448676974
The Jew of Malta,BARABAS,1,none,14,"But he whose steel-barr'd coffers are cramm'd full,","['whose', 'steel-barr', 'coffers', 'cramm', 'full']",-0.013679244
The Jew of Malta,BARABAS,1,none,15,"And all his life-time hath been tired,","['life-time', 'tired']",-0.397629403
The Jew of Malta,BARABAS,1,none,16,"Wearying his fingers' ends with telling it,","['Wearying', 'fingers', 'ends', 'telling']",-0.162201438
The Jew of Malta,BARABAS,1,none,17,"Would in his age be loath to labour so,","['Would', 'age', 'loath', 'labour']",-0.338469587
The Jew of Malta,BARABAS,1,none,18,And for a pound to sweat himself to death.,"['pound', 'sweat', 'death']",-0.545122627
The Jew of Malta,BARABAS,1,none,19,"Give me the merchants of the Indian mines,","['Give', 'merchants', 'Indian', 'mines']",-0.08763063
The Jew of Malta,BARABAS,1,none,20,That trade in metal of the purest mould;,"['trade', 'metal', 'purest', 'mould']",0.046282817
The Jew of Malta,BARABAS,1,none,21,"The wealthy Moor, that in the eastern rocks","['wealthy', 'Moor', 'eastern', 'rocks']",0.02290545
The Jew of Malta,BARABAS,1,none,22,"Without control can pick his riches up,","['Without', 'control', 'pick', 'riches']",-0.272539854
