play_name,character,act,scene,sentence,text
The Jew of Malta,BARABAS,ACT I.,none,1,So that of thus much that return was made;
The Jew of Malta,BARABAS,ACT I.,none,2,And of the third part of the Persian ships
The Jew of Malta,BARABAS,ACT I.,none,3,There was the venture summ'd and satisfied.
The Jew of Malta,BARABAS,ACT I.,none,4,"As for those Samnites,  and the men of Uz,"
The Jew of Malta,BARABAS,ACT I.,none,5,"That bought my Spanish oils and wines of Greece,"
The Jew of Malta,BARABAS,ACT I.,none,6,Here have I purs'd their paltry silverlings.
The Jew of Malta,BARABAS,ACT I.,none,7,"Fie, what a trouble 'tis to count this trash!"
The Jew of Malta,BARABAS,ACT I.,none,8,"Well fare the Arabians, who so richly pay"
The Jew of Malta,BARABAS,ACT I.,none,9,"The things they traffic for with wedge of gold,"
The Jew of Malta,BARABAS,ACT I.,none,10,Whereof a man may easily in a day
The Jew of Malta,BARABAS,ACT I.,none,11,Tell  that which may maintain him all his life.
The Jew of Malta,BARABAS,ACT I.,none,12,"The needy groom, that never finger'd groat,"
The Jew of Malta,BARABAS,ACT I.,none,13,Would make a miracle of thus much coin;
The Jew of Malta,BARABAS,ACT I.,none,14,"But he whose steel-barr'd coffers are cramm'd full,"
The Jew of Malta,BARABAS,ACT I.,none,15,"And all his life-time hath been tired,"
The Jew of Malta,BARABAS,ACT I.,none,16,"Wearying his fingers' ends with telling it,"
The Jew of Malta,BARABAS,ACT I.,none,17,"Would in his age be loath to labour so,"
The Jew of Malta,BARABAS,ACT I.,none,18,And for a pound to sweat himself to death.
The Jew of Malta,BARABAS,ACT I.,none,19,"Give me the merchants of the Indian mines,"
The Jew of Malta,BARABAS,ACT I.,none,20,That trade in metal of the purest mould;
The Jew of Malta,BARABAS,ACT I.,none,21,"The wealthy Moor, that in the eastern rocks"
The Jew of Malta,BARABAS,ACT I.,none,22,"Without control can pick his riches up,"
The Jew of Malta,BARABAS,ACT I.,none,23,"And in his house heap pearl like pebble-stones,"
The Jew of Malta,BARABAS,ACT I.,none,24,"Receive them free, and sell them by the weight;"
The Jew of Malta,BARABAS,ACT I.,none,25,"Bags of fiery opals, sapphires, amethysts,"
The Jew of Malta,BARABAS,ACT I.,none,26,"Jacinths, hard topaz, grass-green emeralds,"
The Jew of Malta,BARABAS,ACT I.,none,27,"Beauteous rubies, sparkling diamonds,"
The Jew of Malta,BARABAS,ACT I.,none,28,"And seld-seen  costly stones of so great price,"
The Jew of Malta,BARABAS,ACT I.,none,29,"As one of them, indifferently rated,"
The Jew of Malta,BARABAS,ACT I.,none,30,"And of a carat of this quantity,"
The Jew of Malta,BARABAS,ACT I.,none,31,"May serve, in peril of calamity,"
The Jew of Malta,BARABAS,ACT I.,none,32,To ransom great kings from captivity.
The Jew of Malta,BARABAS,ACT I.,none,33,This is the ware wherein consists my wealth;
The Jew of Malta,BARABAS,ACT I.,none,34,And thus methinks should men of judgment frame
The Jew of Malta,BARABAS,ACT I.,none,35,"Their means of traffic from the vulgar trade,"
The Jew of Malta,BARABAS,ACT I.,none,36,"And, as their wealth increaseth, so inclose"
The Jew of Malta,BARABAS,ACT I.,none,37,Infinite riches in a little room.
The Jew of Malta,BARABAS,ACT I.,none,38,But now how stands the wind?
The Jew of Malta,BARABAS,ACT I.,none,39,Into what corner peers my halcyon's bill?
