play_name,character,act,scene,sentence,text,tokens,sentiment_score
The Jew of Malta,BARABAS,ACT I.,none,1,So that of thus much that return was made;,"['thus', 'much', 'return', 'made']",0.0
The Jew of Malta,BARABAS,ACT I.,none,2,And of the third part of the Persian ships,"['third', 'part', 'Persian', 'ships']",0.0
The Jew of Malta,BARABAS,ACT I.,none,3,There was the venture summ'd and satisfied.,"['venture', 'summ', 'satisfied']",0.4215
The Jew of Malta,BARABAS,ACT I.,none,4,"As for those Samnites,  and the men of Uz,","['Samnites', 'men', 'Uz']",0.0
The Jew of Malta,BARABAS,ACT I.,none,5,"That bought my Spanish oils and wines of Greece,","['bought', 'Spanish', 'oils', 'wines', 'Greece']",0.0
The Jew of Malta,BARABAS,ACT I.,none,6,Here have I purs'd their paltry silverlings.,"['purs', 'paltry', 'silverlings']",0.0
The Jew of Malta,BARABAS,ACT I.,none,7,"Fie, what a trouble 'tis to count this trash!","['trouble', ""'t"", 'count', 'trash']",-0.4574
The Jew of Malta,BARABAS,ACT I.,none,8,"Well fare the Arabians, who so richly pay","['Well', 'fare', 'Arabians', 'richly', 'pay']",0.6325
The Jew of Malta,BARABAS,ACT I.,none,9,"The things they traffic for with wedge of gold,","['things', 'traffic', 'wedge', 'gold']",0.0
The Jew of Malta,BARABAS,ACT I.,none,10,Whereof a man may easily in a day,"['Whereof', 'man', 'may', 'easily', 'day']",0.34
The Jew of Malta,BARABAS,ACT I.,none,11,Tell  that which may maintain him all his life.,"['Tell', 'may', 'maintain', 'life']",0.0
The Jew of Malta,BARABAS,ACT I.,none,12,"The needy groom, that never finger'd groat,","['needy', 'groom', 'never', 'finger', 'groat']",-0.34
The Jew of Malta,BARABAS,ACT I.,none,13,Would make a miracle of thus much coin;,"['Would', 'make', 'miracle', 'thus', 'much', 'coin']",0.5859
The Jew of Malta,BARABAS,ACT I.,none,14,"But he whose steel-barr'd coffers are cramm'd full,","['whose', 'steel-barr', 'coffers', 'cramm', 'full']",0.0
The Jew of Malta,BARABAS,ACT I.,none,15,"And all his life-time hath been tired,","['life-time', 'tired']",-0.4404
The Jew of Malta,BARABAS,ACT I.,none,16,"Wearying his fingers' ends with telling it,","['Wearying', 'fingers', 'ends', 'telling']",0.0
The Jew of Malta,BARABAS,ACT I.,none,17,"Would in his age be loath to labour so,","['Would', 'age', 'loath', 'labour']",0.0
The Jew of Malta,BARABAS,ACT I.,none,18,And for a pound to sweat himself to death.,"['pound', 'sweat', 'death']",-0.5994
The Jew of Malta,BARABAS,ACT I.,none,19,"Give me the merchants of the Indian mines,","['Give', 'merchants', 'Indian', 'mines']",0.0
The Jew of Malta,BARABAS,ACT I.,none,20,That trade in metal of the purest mould;,"['trade', 'metal', 'purest', 'mould']",0.0
The Jew of Malta,BARABAS,ACT I.,none,21,"The wealthy Moor, that in the eastern rocks","['wealthy', 'Moor', 'eastern', 'rocks']",0.3612
The Jew of Malta,BARABAS,ACT I.,none,22,"Without control can pick his riches up,","['Without', 'control', 'pick', 'riches']",0.5267
The Jew of Malta,BARABAS,ACT I.,none,23,"And in his house heap pearl like pebble-stones,","['house', 'heap', 'pearl', 'like', 'pebble-stones']",0.3612
The Jew of Malta,BARABAS,ACT I.,none,24,"Receive them free, and sell them by the weight;","['Receive', 'free', 'sell', 'weight']",0.5106
The Jew of Malta,BARABAS,ACT I.,none,25,"Bags of fiery opals, sapphires, amethysts,","['Bags', 'fiery', 'opals', 'sapphires', 'amethysts']",-0.34
The Jew of Malta,BARABAS,ACT I.,none,26,"Jacinths, hard topaz, grass-green emeralds,","['Jacinths', 'hard', 'topaz', 'grass-green', 'emeralds']",-0.1027
The Jew of Malta,BARABAS,ACT I.,none,27,"Beauteous rubies, sparkling diamonds,","['Beauteous', 'rubies', 'sparkling', 'diamonds']",0.6908
The Jew of Malta,BARABAS,ACT I.,none,28,"And seld-seen  costly stones of so great price,","['seld-seen', 'costly', 'stones', 'great', 'price']",0.7042
The Jew of Malta,BARABAS,ACT I.,none,29,"As one of them, indifferently rated,","['one', 'indifferently', 'rated']",0.0
The Jew of Malta,BARABAS,ACT I.,none,30,"And of a carat of this quantity,","['carat', 'quantity']",0.0
The Jew of Malta,BARABAS,ACT I.,none,31,"May serve, in peril of calamity,","['May', 'serve', 'peril', 'calamity']",-0.4019
The Jew of Malta,BARABAS,ACT I.,none,32,To ransom great kings from captivity.,"['ransom', 'great', 'kings', 'captivity']",0.6249
The Jew of Malta,BARABAS,ACT I.,none,33,This is the ware wherein consists my wealth;,"['ware', 'wherein', 'consists', 'wealth']",0.4939
The Jew of Malta,BARABAS,ACT I.,none,34,And thus methinks should men of judgment frame,"['thus', 'methinks', 'men', 'judgment', 'frame']",0.0
The Jew of Malta,BARABAS,ACT I.,none,35,"Their means of traffic from the vulgar trade,","['means', 'traffic', 'vulgar', 'trade']",0.0
The Jew of Malta,BARABAS,ACT I.,none,36,"And, as their wealth increaseth, so inclose","['wealth', 'increaseth', 'inclose']",0.4939
The Jew of Malta,BARABAS,ACT I.,none,37,Infinite riches in a little room.,"['Infinite', 'riches', 'little', 'room']",0.5267
The Jew of Malta,BARABAS,ACT I.,none,38,But now how stands the wind?,"['stands', 'wind']",0.0
The Jew of Malta,BARABAS,ACT I.,none,39,Into what corner peers my halcyon's bill?,"['corner', 'peers', 'halcyon', 'bill']",0.0
The Jew of Malta,BARABAS,ACT I.,none,40,Ha! to the east? yes.  See how stand the vanes,"['Ha', 'east', 'yes', 'See', 'stand', 'vanes']",0.4574
The Jew of Malta,BARABAS,ACT I.,none,41,"East and by south:  why, then, I hope my ships","['East', 'south', 'hope', 'ships']",0.4404
The Jew of Malta,BARABAS,ACT I.,none,42,I sent for Egypt and the bordering isles,"['sent', 'Egypt', 'bordering', 'isles']",0.0
The Jew of Malta,BARABAS,ACT I.,none,43,Are gotten up by Nilus' winding banks;,"['gotten', 'Nilus', 'winding', 'banks']",0.0
The Jew of Malta,BARABAS,ACT I.,none,44,"Mine argosy from Alexandria,","['argosy', 'Alexandria']",0.0
The Jew of Malta,BARABAS,ACT I.,none,45,"Loaden with spice and silks, now under sail,","['Loaden', 'spice', 'silks', 'sail']",0.0
The Jew of Malta,BARABAS,ACT I.,none,46,Are smoothly gliding down by Candy-shore,"['smoothly', 'gliding', 'Candy-shore']",0.0
The Jew of Malta,BARABAS,ACT I.,none,47,"To Malta, through our Mediterranean sea.","['Malta', 'Mediterranean', 'sea']",0.0
The Jew of Malta,BARABAS,ACT I.,none,48,But who comes here? How now!,['comes'],0.0
The Jew of Malta,MERCHANT,ACT I.,none,1,"Barabas, thy ships are safe,","['Barabas', 'ships', 'safe']",0.4404
The Jew of Malta,MERCHANT,ACT I.,none,2,Riding in Malta-road; and all the merchants,"['Riding', 'Malta-road', 'merchants']",0.0
The Jew of Malta,MERCHANT,ACT I.,none,3,"With other merchandise are safe arriv'd,","['merchandise', 'safe', 'arriv']",0.4404
The Jew of Malta,MERCHANT,ACT I.,none,4,And have sent me to know whether yourself,"['sent', 'know', 'whether']",0.0
The Jew of Malta,MERCHANT,ACT I.,none,5,Will come and custom them.,"['come', 'custom']",0.0
The Jew of Malta,BARABAS,ACT I.,none,1,"The ships are safe thou say'st, and richly fraught?","['ships', 'safe', ""say'st"", 'richly', 'fraught']",0.7003
The Jew of Malta,MERCHANT,ACT I.,none,1,They are.,[],0.0
The Jew of Malta,BARABAS,ACT I.,none,1,"Why, then, go bid them come ashore,","['go', 'bid', 'come', 'ashore']",0.0
The Jew of Malta,BARABAS,ACT I.,none,2,And bring with them their bills of entry:,"['bring', 'bills', 'entry']",0.0
The Jew of Malta,BARABAS,ACT I.,none,3,I hope our credit in the custom-house,"['hope', 'credit', 'custom-house']",0.6705
The Jew of Malta,BARABAS,ACT I.,none,4,Will serve as well as I were present there.,"['serve', 'well', 'present']",0.2732
The Jew of Malta,BARABAS,ACT I.,none,5,"Go send 'em threescore camels, thirty mules,","['Go', 'send', ""'em"", 'threescore', 'camels', 'thirty', 'mules']",0.0
The Jew of Malta,BARABAS,ACT I.,none,6,"And twenty waggons, to bring up the ware.","['twenty', 'waggons', 'bring', 'ware']",0.0
The Jew of Malta,BARABAS,ACT I.,none,7,"But art thou master in a ship of mine,","['master', 'ship']",0.0
The Jew of Malta,BARABAS,ACT I.,none,8,And is thy credit not enough for that?,"['credit', 'enough']",0.3818
The Jew of Malta,MERCHANT,ACT I.,none,1,The very custom barely comes to more,"['custom', 'barely', 'comes']",0.0
The Jew of Malta,MERCHANT,ACT I.,none,2,"Than many merchants of the town are worth,","['many', 'merchants', 'town', 'worth']",0.2263
The Jew of Malta,MERCHANT,ACT I.,none,3,"And therefore far exceeds my credit, sir.","['therefore', 'far', 'exceeds', 'credit', 'sir']",0.3818
