play_name,character,act,scene,sentence,text,tokens
The Jew of Malta,BARABAS,ACT I.,none,1,So that of thus much that return was made;,"['thus', 'much', 'return', 'made']"
The Jew of Malta,BARABAS,ACT I.,none,2,And of the third part of the Persian ships,"['third', 'part', 'Persian', 'ships']"
The Jew of Malta,BARABAS,ACT I.,none,3,There was the venture summ'd and satisfied.,"['venture', 'summ', 'satisfied']"
The Jew of Malta,BARABAS,ACT I.,none,4,"As for those Samnites,  and the men of Uz,","['Samnites', 'men', 'Uz']"
The Jew of Malta,BARABAS,ACT I.,none,5,"That bought my Spanish oils and wines of Greece,","['bought', 'Spanish', 'oils', 'wines', 'Greece']"
The Jew of Malta,BARABAS,ACT I.,none,6,Here have I purs'd their paltry silverlings.,"['purs', 'paltry', 'silverlings']"
The Jew of Malta,BARABAS,ACT I.,none,7,"Fie, what a trouble 'tis to count this trash!","['trouble', ""'t"", 'count', 'trash']"
The Jew of Malta,BARABAS,ACT I.,none,8,"Well fare the Arabians, who so richly pay","['Well', 'fare', 'Arabians', 'richly', 'pay']"
The Jew of Malta,BARABAS,ACT I.,none,9,"The things they traffic for with wedge of gold,","['things', 'traffic', 'wedge', 'gold']"
The Jew of Malta,BARABAS,ACT I.,none,10,Whereof a man may easily in a day,"['Whereof', 'man', 'may', 'easily', 'day']"
The Jew of Malta,BARABAS,ACT I.,none,11,Tell  that which may maintain him all his life.,"['Tell', 'may', 'maintain', 'life']"
The Jew of Malta,BARABAS,ACT I.,none,12,"The needy groom, that never finger'd groat,","['needy', 'groom', 'never', 'finger', 'groat']"
The Jew of Malta,BARABAS,ACT I.,none,13,Would make a miracle of thus much coin;,"['Would', 'make', 'miracle', 'thus', 'much', 'coin']"
The Jew of Malta,BARABAS,ACT I.,none,14,"But he whose steel-barr'd coffers are cramm'd full,","['whose', 'steel-barr', 'coffers', 'cramm', 'full']"
The Jew of Malta,BARABAS,ACT I.,none,15,"And all his life-time hath been tired,","['life-time', 'tired']"
The Jew of Malta,BARABAS,ACT I.,none,16,"Wearying his fingers' ends with telling it,","['Wearying', 'fingers', 'ends', 'telling']"
The Jew of Malta,BARABAS,ACT I.,none,17,"Would in his age be loath to labour so,","['Would', 'age', 'loath', 'labour']"
The Jew of Malta,BARABAS,ACT I.,none,18,And for a pound to sweat himself to death.,"['pound', 'sweat', 'death']"
The Jew of Malta,BARABAS,ACT I.,none,19,"Give me the merchants of the Indian mines,","['Give', 'merchants', 'Indian', 'mines']"
The Jew of Malta,BARABAS,ACT I.,none,20,That trade in metal of the purest mould;,"['trade', 'metal', 'purest', 'mould']"
The Jew of Malta,BARABAS,ACT I.,none,21,"The wealthy Moor, that in the eastern rocks","['wealthy', 'Moor', 'eastern', 'rocks']"
The Jew of Malta,BARABAS,ACT I.,none,22,"Without control can pick his riches up,","['Without', 'control', 'pick', 'riches']"
The Jew of Malta,BARABAS,ACT I.,none,23,"And in his house heap pearl like pebble-stones,","['house', 'heap', 'pearl', 'like', 'pebble-stones']"
The Jew of Malta,BARABAS,ACT I.,none,24,"Receive them free, and sell them by the weight;","['Receive', 'free', 'sell', 'weight']"
The Jew of Malta,BARABAS,ACT I.,none,25,"Bags of fiery opals, sapphires, amethysts,","['Bags', 'fiery', 'opals', 'sapphires', 'amethysts']"
The Jew of Malta,BARABAS,ACT I.,none,26,"Jacinths, hard topaz, grass-green emeralds,","['Jacinths', 'hard', 'topaz', 'grass-green', 'emeralds']"
The Jew of Malta,BARABAS,ACT I.,none,27,"Beauteous rubies, sparkling diamonds,","['Beauteous', 'rubies', 'sparkling', 'diamonds']"
The Jew of Malta,BARABAS,ACT I.,none,28,"And seld-seen  costly stones of so great price,","['seld-seen', 'costly', 'stones', 'great', 'price']"
The Jew of Malta,BARABAS,ACT I.,none,29,"As one of them, indifferently rated,","['one', 'indifferently', 'rated']"
The Jew of Malta,BARABAS,ACT I.,none,30,"And of a carat of this quantity,","['carat', 'quantity']"
The Jew of Malta,BARABAS,ACT I.,none,31,"May serve, in peril of calamity,","['May', 'serve', 'peril', 'calamity']"
The Jew of Malta,BARABAS,ACT I.,none,32,To ransom great kings from captivity.,"['ransom', 'great', 'kings', 'captivity']"
The Jew of Malta,BARABAS,ACT I.,none,33,This is the ware wherein consists my wealth;,"['ware', 'wherein', 'consists', 'wealth']"
The Jew of Malta,BARABAS,ACT I.,none,34,And thus methinks should men of judgment frame,"['thus', 'methinks', 'men', 'judgment', 'frame']"
The Jew of Malta,BARABAS,ACT I.,none,35,"Their means of traffic from the vulgar trade,","['means', 'traffic', 'vulgar', 'trade']"
