play_name,genre,character,act,scene,sentence,text,tokens,sentiment_score
Macbeth,Tragedy,First Witch,1,1,1,When shall we three meet again,"['shall', 'three', 'meet']",0.06711443793028593
Macbeth,Tragedy,First Witch,1,1,2,"In thunder, lightning, or in rain?","['thunder', 'lightning', 'rain']",-0.06642773747444153
Macbeth,Tragedy,Second Witch,1,1,3,"When the hurlyburly's done,","['hurlyburly', 'done']",-0.14206121116876602
Macbeth,Tragedy,Second Witch,1,1,4,When the battle's lost and won.,"['battle', 'lost']",-0.16388214379549026
Macbeth,Tragedy,Third Witch,1,1,5,That will be ere the set of sun.,"['set', 'sun']",0.17619045358151197
Macbeth,Tragedy,First Witch,1,1,6,Where the place?,['place'],-0.11478298157453537
Macbeth,Tragedy,Second Witch,1,1,7,Upon the heath.,"['Upon', 'heath']",0.054533664137125015
Macbeth,Tragedy,Third Witch,1,1,8,There to meet with Macbeth.,['meet'],0.08590771909803152
Macbeth,Tragedy,First Witch,1,1,9,"I come, Graymalkin!","['come', 'Graymalkin']",0.2553520882502198
Macbeth,Tragedy,Second Witch,1,1,10,Paddock calls.,"['Paddock', 'calls']",-0.004631295800209045
Macbeth,Tragedy,Third Witch,1,1,11,Anon.,[],-0.2700628936290741
Macbeth,Tragedy,All,1,1,12,"Fair is foul, and foul is fair:","['Fair', 'foul', 'foul', 'fair']",-0.3954014480113983
Macbeth,Tragedy,All,1,1,13,Hover through the fog and filthy air.,"['Hover', 'fog', 'filthy', 'air']",-0.41033241152763367
Macbeth,Tragedy,Duncan,1,2,1,"What bloody man is that? He can report,","['bloody', 'man', 'report']",-0.8754407623782754
Macbeth,Tragedy,Duncan,1,2,2,"As seemeth by his plight, of the revolt","['seemeth', 'plight', 'revolt']",-0.20623430609703064
Macbeth,Tragedy,Duncan,1,2,3,The newest state.,"['newest', 'state']",0.06760510802268982
Macbeth,Tragedy,Malcolm,1,2,4,This is the sergeant,['sergeant'],0.14599335193634033
Macbeth,Tragedy,Malcolm,1,2,5,Who like a good and hardy soldier fought,"['like', 'good', 'hardy', 'soldier', 'fought']",0.4208136536180973
Macbeth,Tragedy,Malcolm,1,2,6,"'Gainst my captivity. Hail, brave friend!","[""'Gainst"", 'captivity', 'Hail', 'brave', 'friend']",0.7491261214017868
Macbeth,Tragedy,Malcolm,1,2,7,Say to the king the knowledge of the broil,"['Say', 'king', 'knowledge', 'broil']",0.023996155709028244
Macbeth,Tragedy,Malcolm,1,2,8,As thou didst leave it.,"['didst', 'leave']",-0.0635858103632927
Macbeth,Tragedy,Sergeant,1,2,9,Doubtful it stood;,"['Doubtful', 'stood']",-0.1275012195110321
Macbeth,Tragedy,Sergeant,1,2,10,"As two spent swimmers, that do cling together","['two', 'spent', 'swimmers', 'cling', 'together']",0.38062466587871313
Macbeth,Tragedy,Sergeant,1,2,11,And choke their art. The merciless Macdonwald--,"['choke', 'merciless', 'Macdonwald']",-0.661047300323844
Macbeth,Tragedy,Sergeant,1,2,12,"Worthy to be a rebel, for to that","['Worthy', 'rebel']",0.06179381161928177
Macbeth,Tragedy,Sergeant,1,2,13,The multiplying villanies of nature,"['multiplying', 'villanies', 'nature']",0.016386128962039948
