play_name,genre,character,act,scene,sentence,text,tokens
Macbeth,Tragedy,First Witch,1,1,1,When shall we three meet again,"['shall', 'three', 'meet']"
Macbeth,Tragedy,First Witch,1,1,2,"In thunder, lightning, or in rain?","['thunder', 'lightning', 'rain']"
Macbeth,Tragedy,Second Witch,1,1,3,"When the hurlyburly's done,","['hurlyburly', 'done']"
Macbeth,Tragedy,Second Witch,1,1,4,When the battle's lost and won.,"['battle', 'lost']"
Macbeth,Tragedy,Third Witch,1,1,5,That will be ere the set of sun.,"['set', 'sun']"
Macbeth,Tragedy,First Witch,1,1,6,Where the place?,['place']
Macbeth,Tragedy,Second Witch,1,1,7,Upon the heath.,"['Upon', 'heath']"
Macbeth,Tragedy,Third Witch,1,1,8,There to meet with Macbeth.,['meet']
Macbeth,Tragedy,First Witch,1,1,9,"I come, Graymalkin!","['come', 'Graymalkin']"
Macbeth,Tragedy,Second Witch,1,1,10,Paddock calls.,"['Paddock', 'calls']"
Macbeth,Tragedy,Third Witch,1,1,11,Anon.,[]
Macbeth,Tragedy,All,1,1,12,"Fair is foul, and foul is fair:","['Fair', 'foul', 'foul', 'fair']"
Macbeth,Tragedy,All,1,1,13,Hover through the fog and filthy air.,"['Hover', 'fog', 'filthy', 'air']"
Macbeth,Tragedy,Duncan,1,2,1,"What bloody man is that? He can report,","['bloody', 'man', 'report']"
Macbeth,Tragedy,Duncan,1,2,2,"As seemeth by his plight, of the revolt","['seemeth', 'plight', 'revolt']"
Macbeth,Tragedy,Duncan,1,2,3,The newest state.,"['newest', 'state']"
Macbeth,Tragedy,Malcolm,1,2,4,This is the sergeant,['sergeant']
Macbeth,Tragedy,Malcolm,1,2,5,Who like a good and hardy soldier fought,"['like', 'good', 'hardy', 'soldier', 'fought']"
Macbeth,Tragedy,Malcolm,1,2,6,"'Gainst my captivity. Hail, brave friend!","[""'Gainst"", 'captivity', 'Hail', 'brave', 'friend']"
Macbeth,Tragedy,Malcolm,1,2,7,Say to the king the knowledge of the broil,"['Say', 'king', 'knowledge', 'broil']"
Macbeth,Tragedy,Malcolm,1,2,8,As thou didst leave it.,"['didst', 'leave']"
Macbeth,Tragedy,Sergeant,1,2,9,Doubtful it stood;,"['Doubtful', 'stood']"
Macbeth,Tragedy,Sergeant,1,2,10,"As two spent swimmers, that do cling together","['two', 'spent', 'swimmers', 'cling', 'together']"
Macbeth,Tragedy,Sergeant,1,2,11,And choke their art. The merciless Macdonwald--,"['choke', 'merciless', 'Macdonwald']"
Macbeth,Tragedy,Sergeant,1,2,12,"Worthy to be a rebel, for to that","['Worthy', 'rebel']"
Macbeth,Tragedy,Sergeant,1,2,13,The multiplying villanies of nature,"['multiplying', 'villanies', 'nature']"
Macbeth,Tragedy,Sergeant,1,2,14,Do swarm upon him--from the western isles,"['swarm', 'upon', 'western', 'isles']"
Macbeth,Tragedy,Sergeant,1,2,15,Of kerns and gallowglasses is supplied;,"['kerns', 'gallowglasses', 'supplied']"
Macbeth,Tragedy,Sergeant,1,2,16,"And fortune, on his damned quarrel smiling,","['fortune', 'damned', 'quarrel', 'smiling']"
Macbeth,Tragedy,Sergeant,1,2,17,Show'd like a rebel's whore: but all's too weak:,"['Show', 'like', 'rebel', 'whore', 'weak']"
Macbeth,Tragedy,Sergeant,1,2,18,For brave Macbeth--well he deserves that name--,"['brave', 'well', 'deserves', 'name']"
Macbeth,Tragedy,Sergeant,1,2,19,"Disdaining fortune, with his brandish'd steel,","['Disdaining', 'fortune', 'brandish', 'steel']"
Macbeth,Tragedy,Sergeant,1,2,20,"Which smoked with bloody execution,","['smoked', 'bloody', 'execution']"
Macbeth,Tragedy,Sergeant,1,2,21,Like valour's minion carved out his passage,"['Like', 'valour', 'minion', 'carved', 'passage']"
Macbeth,Tragedy,Sergeant,1,2,22,Till he faced the slave;,"['Till', 'faced', 'slave']"
Macbeth,Tragedy,Sergeant,1,2,23,"Which ne'er shook hands, nor bade farewell to him,","[""ne'er"", 'shook', 'hands', 'bade', 'farewell']"
Macbeth,Tragedy,Sergeant,1,2,24,"Till he unseam'd him from the nave to the chaps,","['Till', 'unseam', 'nave', 'chaps']"
Macbeth,Tragedy,Sergeant,1,2,25,And fix'd his head upon our battlements.,"['fix', 'head', 'upon', 'battlements']"
Macbeth,Tragedy,Duncan,1,2,26,O valiant cousin! worthy gentleman!,"['valiant', 'cousin', 'worthy', 'gentleman']"
Macbeth,Tragedy,Sergeant,1,2,27,As whence the sun 'gins his reflection,"['sun', ""'gins"", 'reflection']"
Macbeth,Tragedy,Sergeant,1,2,28,"Shipwrecking storms and direful thunders break,","['Shipwrecking', 'storms', 'direful', 'thunders', 'break']"
Macbeth,Tragedy,Sergeant,1,2,29,So from that spring whence comfort seem'd to come,"['spring', 'comfort', 'seem', 'come']"
Macbeth,Tragedy,Sergeant,1,2,30,"Discomfort swells. Mark, king of Scotland, mark:","['Discomfort', 'swells', 'Mark', 'king', 'Scotland', 'mark']"
Macbeth,Tragedy,Sergeant,1,2,31,No sooner justice had with valour arm'd,"['sooner', 'justice', 'valour', 'arm']"
Macbeth,Tragedy,Sergeant,1,2,32,"Compell'd these skipping kerns to trust their heels,","['Compell', 'skipping', 'kerns', 'trust', 'heels']"
Macbeth,Tragedy,Sergeant,1,2,33,"But the Norweyan lord surveying vantage,","['Norweyan', 'lord', 'surveying', 'vantage']"
Macbeth,Tragedy,Sergeant,1,2,34,With furbish'd arms and new supplies of men,"['furbish', 'arms', 'new', 'supplies', 'men']"
Macbeth,Tragedy,Sergeant,1,2,35,Began a fresh assault.,"['Began', 'fresh', 'assault']"
Macbeth,Tragedy,Duncan,1,2,36,Dismay'd not this,['Dismay']
Macbeth,Tragedy,Duncan,1,2,37,"Our captains, Macbeth and Banquo?",['captains']
Macbeth,Tragedy,Sergeant,1,2,38,Yes;,['Yes']
Macbeth,Tragedy,Sergeant,1,2,39,"As sparrows eagles, or the hare the lion.","['sparrows', 'eagles', 'hare', 'lion']"
Macbeth,Tragedy,Sergeant,1,2,40,"If I say sooth, I must report they were","['say', 'sooth', 'must', 'report']"
Macbeth,Tragedy,Sergeant,1,2,41,"As cannons overcharged with double cracks, so they","['cannons', 'overcharged', 'double', 'cracks']"
Macbeth,Tragedy,Sergeant,1,2,42,Doubly redoubled strokes upon the foe:,"['Doubly', 'redoubled', 'strokes', 'upon', 'foe']"
Macbeth,Tragedy,Sergeant,1,2,43,"Except they meant to bathe in reeking wounds,","['Except', 'meant', 'bathe', 'reeking', 'wounds']"
Macbeth,Tragedy,Sergeant,1,2,44,"Or memorise another Golgotha,","['memorise', 'another', 'Golgotha']"
Macbeth,Tragedy,Sergeant,1,2,45,I cannot tell.,['tell']
Macbeth,Tragedy,Sergeant,1,2,46,"But I am faint, my gashes cry for help.","['faint', 'gashes', 'cry', 'help']"
Macbeth,Tragedy,Duncan,1,2,47,So well thy words become thee as thy wounds;,"['well', 'words', 'become', 'wounds']"
Macbeth,Tragedy,Duncan,1,2,48,They smack of honour both. Go get him surgeons.,"['smack', 'honour', 'Go', 'get', 'surgeons']"
Macbeth,Tragedy,Duncan,1,2,49,Who comes here?,['comes']
