play_name,genre,character,act,scene,sentence,text,tokens,sentiment_score
Macbeth,Tragedy,First Witch,1,1,1,When shall we three meet again,"['shall', 'three', 'meet']",0.0
Macbeth,Tragedy,First Witch,1,1,2,"In thunder, lightning, or in rain?","['thunder', 'lightning', 'rain']",0.0
Macbeth,Tragedy,Second Witch,1,1,3,"When the hurlyburly's done,","['hurlyburly', 'done']",0.0
Macbeth,Tragedy,Second Witch,1,1,4,When the battle's lost and won.,"['battle', 'lost']",0.34
Macbeth,Tragedy,Third Witch,1,1,5,That will be ere the set of sun.,"['set', 'sun']",0.0
Macbeth,Tragedy,First Witch,1,1,6,Where the place?,['place'],0.0
Macbeth,Tragedy,Second Witch,1,1,7,Upon the heath.,"['Upon', 'heath']",0.0
Macbeth,Tragedy,Third Witch,1,1,8,There to meet with Macbeth.,['meet'],0.0
Macbeth,Tragedy,First Witch,1,1,9,"I come, Graymalkin!","['come', 'Graymalkin']",0.0
Macbeth,Tragedy,Second Witch,1,1,10,Paddock calls.,"['Paddock', 'calls']",0.0
Macbeth,Tragedy,Third Witch,1,1,11,Anon.,[],0.0
Macbeth,Tragedy,All,1,1,12,"Fair is foul, and foul is fair:","['Fair', 'foul', 'foul', 'fair']",0.5574
Macbeth,Tragedy,All,1,1,13,Hover through the fog and filthy air.,"['Hover', 'fog', 'filthy', 'air']",0.0
Macbeth,Tragedy,Duncan,1,2,1,"What bloody man is that? He can report,","['bloody', 'man', 'report']",-0.4404
Macbeth,Tragedy,Duncan,1,2,2,"As seemeth by his plight, of the revolt","['seemeth', 'plight', 'revolt']",0.0
Macbeth,Tragedy,Duncan,1,2,3,The newest state.,"['newest', 'state']",0.0
Macbeth,Tragedy,Malcolm,1,2,4,This is the sergeant,['sergeant'],0.0
Macbeth,Tragedy,Malcolm,1,2,5,Who like a good and hardy soldier fought,"['like', 'good', 'hardy', 'soldier', 'fought']",0.7003
Macbeth,Tragedy,Malcolm,1,2,6,"'Gainst my captivity. Hail, brave friend!","[""'Gainst"", 'captivity', 'Hail', 'brave', 'friend']",0.8016
Macbeth,Tragedy,Malcolm,1,2,7,Say to the king the knowledge of the broil,"['Say', 'king', 'knowledge', 'broil']",0.0
Macbeth,Tragedy,Malcolm,1,2,8,As thou didst leave it.,"['didst', 'leave']",-0.0516
Macbeth,Tragedy,Sergeant,1,2,9,Doubtful it stood;,"['Doubtful', 'stood']",-0.34
Macbeth,Tragedy,Sergeant,1,2,10,"As two spent swimmers, that do cling together","['two', 'spent', 'swimmers', 'cling', 'together']",0.0
Macbeth,Tragedy,Sergeant,1,2,11,And choke their art. The merciless Macdonwald--,"['choke', 'merciless', 'Macdonwald']",-0.5423
Macbeth,Tragedy,Sergeant,1,2,12,"Worthy to be a rebel, for to that","['Worthy', 'rebel']",0.3182
Macbeth,Tragedy,Sergeant,1,2,13,The multiplying villanies of nature,"['multiplying', 'villanies', 'nature']",0.0
Macbeth,Tragedy,Sergeant,1,2,14,Do swarm upon him--from the western isles,"['swarm', 'upon', 'western', 'isles']",0.0
Macbeth,Tragedy,Sergeant,1,2,15,Of kerns and gallowglasses is supplied;,"['kerns', 'gallowglasses', 'supplied']",0.0
Macbeth,Tragedy,Sergeant,1,2,16,"And fortune, on his damned quarrel smiling,","['fortune', 'damned', 'quarrel', 'smiling']",0.1027
Macbeth,Tragedy,Sergeant,1,2,17,Show'd like a rebel's whore: but all's too weak:,"['Show', 'like', 'rebel', 'whore', 'weak']",-0.6956
Macbeth,Tragedy,Sergeant,1,2,18,For brave Macbeth--well he deserves that name--,"['brave', 'well', 'deserves', 'name']",0.5267
Macbeth,Tragedy,Sergeant,1,2,19,"Disdaining fortune, with his brandish'd steel,","['Disdaining', 'fortune', 'brandish', 'steel']",0.0
Macbeth,Tragedy,Sergeant,1,2,20,"Which smoked with bloody execution,","['smoked', 'bloody', 'execution']",-0.4404
Macbeth,Tragedy,Sergeant,1,2,21,Like valour's minion carved out his passage,"['Like', 'valour', 'minion', 'carved', 'passage']",0.3612
Macbeth,Tragedy,Sergeant,1,2,22,Till he faced the slave;,"['Till', 'faced', 'slave']",0.0
Macbeth,Tragedy,Sergeant,1,2,23,"Which ne'er shook hands, nor bade farewell to him,","[""ne'er"", 'shook', 'hands', 'bade', 'farewell']",-0.1027
Macbeth,Tragedy,Sergeant,1,2,24,"Till he unseam'd him from the nave to the chaps,","['Till', 'unseam', 'nave', 'chaps']",0.0
Macbeth,Tragedy,Sergeant,1,2,25,And fix'd his head upon our battlements.,"['fix', 'head', 'upon', 'battlements']",-0.1027
Macbeth,Tragedy,Duncan,1,2,26,O valiant cousin! worthy gentleman!,"['valiant', 'cousin', 'worthy', 'gentleman']",0.5399
Macbeth,Tragedy,Sergeant,1,2,27,As whence the sun 'gins his reflection,"['sun', ""'gins"", 'reflection']",0.0
Macbeth,Tragedy,Sergeant,1,2,28,"Shipwrecking storms and direful thunders break,","['Shipwrecking', 'storms', 'direful', 'thunders', 'break']",-0.6249
Macbeth,Tragedy,Sergeant,1,2,29,So from that spring whence comfort seem'd to come,"['spring', 'comfort', 'seem', 'come']",0.3612
Macbeth,Tragedy,Sergeant,1,2,30,"Discomfort swells. Mark, king of Scotland, mark:","['Discomfort', 'swells', 'Mark', 'king', 'Scotland', 'mark']",-0.4215
Macbeth,Tragedy,Sergeant,1,2,31,No sooner justice had with valour arm'd,"['sooner', 'justice', 'valour', 'arm']",-0.6093
Macbeth,Tragedy,Sergeant,1,2,32,"Compell'd these skipping kerns to trust their heels,","['Compell', 'skipping', 'kerns', 'trust', 'heels']",0.5106
Macbeth,Tragedy,Sergeant,1,2,33,"But the Norweyan lord surveying vantage,","['Norweyan', 'lord', 'surveying', 'vantage']",0.0
Macbeth,Tragedy,Sergeant,1,2,34,With furbish'd arms and new supplies of men,"['furbish', 'arms', 'new', 'supplies', 'men']",0.0
Macbeth,Tragedy,Sergeant,1,2,35,Began a fresh assault.,"['Began', 'fresh', 'assault']",-0.3612
Macbeth,Tragedy,Duncan,1,2,36,Dismay'd not this,['Dismay'],0.0
Macbeth,Tragedy,Duncan,1,2,37,"Our captains, Macbeth and Banquo?",['captains'],0.0
Macbeth,Tragedy,Sergeant,1,2,38,Yes;,['Yes'],0.4019
Macbeth,Tragedy,Sergeant,1,2,39,"As sparrows eagles, or the hare the lion.","['sparrows', 'eagles', 'hare', 'lion']",0.0
Macbeth,Tragedy,Sergeant,1,2,40,"If I say sooth, I must report they were","['say', 'sooth', 'must', 'report']",0.0
Macbeth,Tragedy,Sergeant,1,2,41,"As cannons overcharged with double cracks, so they","['cannons', 'overcharged', 'double', 'cracks']",0.0
Macbeth,Tragedy,Sergeant,1,2,42,Doubly redoubled strokes upon the foe:,"['Doubly', 'redoubled', 'strokes', 'upon', 'foe']",-0.4404
Macbeth,Tragedy,Sergeant,1,2,43,"Except they meant to bathe in reeking wounds,","['Except', 'meant', 'bathe', 'reeking', 'wounds']",-0.4588
Macbeth,Tragedy,Sergeant,1,2,44,"Or memorise another Golgotha,","['memorise', 'another', 'Golgotha']",0.0
Macbeth,Tragedy,Sergeant,1,2,45,I cannot tell.,['tell'],0.0
Macbeth,Tragedy,Sergeant,1,2,46,"But I am faint, my gashes cry for help.","['faint', 'gashes', 'cry', 'help']",-0.1531
Macbeth,Tragedy,Duncan,1,2,47,So well thy words become thee as thy wounds;,"['well', 'words', 'become', 'wounds']",0.3384
Macbeth,Tragedy,Duncan,1,2,48,They smack of honour both. Go get him surgeons.,"['smack', 'honour', 'Go', 'get', 'surgeons']",0.5719
Macbeth,Tragedy,Duncan,1,2,49,Who comes here?,['comes'],0.0
Macbeth,Tragedy,Malcolm,1,2,50,The worthy thane of Ross.,"['worthy', 'thane']",0.4404
Macbeth,Tragedy,Lennox,1,2,51,What a haste looks through his eyes! So should he look,"['haste', 'looks', 'eyes', 'look']",0.0
Macbeth,Tragedy,Lennox,1,2,52,That seems to speak things strange.,"['seems', 'speak', 'things', 'strange']",-0.2023
Macbeth,Tragedy,Ross,1,2,53,God save the king!,"['God', 'save', 'king']",0.68
Macbeth,Tragedy,Duncan,1,2,54,"Whence camest thou, worthy thane?","['camest', 'worthy', 'thane']",0.4404
Macbeth,Tragedy,Ross,1,2,55,"From Fife, great king;","['Fife', 'great', 'king']",0.6249
Macbeth,Tragedy,Ross,1,2,56,Where the Norweyan banners flout the sky,"['Norweyan', 'banners', 'flout', 'sky']",0.0
Macbeth,Tragedy,Ross,1,2,57,"And fan our people cold. Norway himself,","['fan', 'people', 'cold', 'Norway']",0.3182
Macbeth,Tragedy,Ross,1,2,58,"With terrible numbers,","['terrible', 'numbers']",-0.4767
Macbeth,Tragedy,Ross,1,2,59,Assisted by that most disloyal traitor,"['Assisted', 'disloyal', 'traitor']",0.0
Macbeth,Tragedy,Ross,1,2,60,"The thane of Cawdor, began a dismal conflict;","['thane', 'Cawdor', 'began', 'dismal', 'conflict']",-0.743
Macbeth,Tragedy,Ross,1,2,61,"Till that Bellona's bridegroom, lapp'd in proof,","['Till', 'Bellona', 'bridegroom', 'lapp', 'proof']",0.0
Macbeth,Tragedy,Ross,1,2,62,"Confronted him with self-comparisons,","['Confronted', 'self-comparisons']",-0.2023
Macbeth,Tragedy,Ross,1,2,63,"Point against point rebellious, arm 'gainst arm.","['Point', 'point', 'rebellious', 'arm', ""'gainst"", 'arm']",-0.296
Macbeth,Tragedy,Ross,1,2,64,"Curbing his lavish spirit: and, to conclude,","['Curbing', 'lavish', 'spirit', 'conclude']",0.1779
Macbeth,Tragedy,Ross,1,2,65,The victory fell on us.,"['victory', 'fell']",0.0
Macbeth,Tragedy,Duncan,1,2,66,Great happiness!,"['Great', 'happiness']",0.8398
Macbeth,Tragedy,Ross,1,2,67,That now,[],0.0
Macbeth,Tragedy,Ross,1,2,68,"Sweno, the Norways' king, craves composition:","['Sweno', 'Norways', 'king', 'craves', 'composition']",0.0
Macbeth,Tragedy,Ross,1,2,69,Nor would we deign him burial of his men,"['would', 'deign', 'burial', 'men']",0.0
Macbeth,Tragedy,Ross,1,2,70,Till he disbursed at Saint Colme's inch,"['Till', 'disbursed', 'Saint', 'Colme', 'inch']",0.0
Macbeth,Tragedy,Ross,1,2,71,Ten thousand dollars to our general use.,"['Ten', 'thousand', 'dollars', 'general', 'use']",0.0
