play_name,genre,character,act,scene,sentence,text,tokens,sentiment_score
Richard III,History,Gloucester,1,1,1,Now is the winter of our discontent,"['winter', 'discontent']",-0.5606657043099403
Richard III,History,Gloucester,1,1,2,Made glorious summer by this sun of York;,"['Made', 'glorious', 'summer', 'sun']",0.9236114106606692
Richard III,History,Gloucester,1,1,3,And all the clouds that lour'd upon our house,"['clouds', 'lour', 'upon', 'house']",-0.06287221610546112
Richard III,History,Gloucester,1,1,4,In the deep bosom of the ocean buried.,"['deep', 'bosom', 'ocean', 'buried']",0.05618947744369507
Richard III,History,Gloucester,1,1,5,Now are our brows bound with victorious wreaths;,"['brows', 'bound', 'victorious', 'wreaths']",0.2290403414517641
Richard III,History,Gloucester,1,1,6,Our bruised arms hung up for monuments;,"['bruised', 'arms', 'hung', 'monuments']",-0.3091498836874962
Richard III,History,Gloucester,1,1,7,"Our stern alarums changed to merry meetings,","['stern', 'alarums', 'changed', 'merry', 'meetings']",0.0987238921225071
Richard III,History,Gloucester,1,1,8,Our dreadful marches to delightful measures.,"['dreadful', 'marches', 'delightful', 'measures']",-0.13808508217334747
Richard III,History,Gloucester,1,1,9,Grim-visaged war hath smooth'd his wrinkled front;,"['Grim-visaged', 'war', 'smooth', 'wrinkled', 'front']",-0.09902230650186539
Richard III,History,Gloucester,1,1,10,"And now, instead of mounting barbed steeds","['instead', 'mounting', 'barbed', 'steeds']",-0.35550649650394917
Richard III,History,Gloucester,1,1,11,"To fright the souls of fearful adversaries,","['fright', 'souls', 'fearful', 'adversaries']",-0.42714305967092514
Richard III,History,Gloucester,1,1,12,He capers nimbly in a lady's chamber,"['capers', 'nimbly', 'lady', 'chamber']",0.28601517155766487
Richard III,History,Gloucester,1,1,13,To the lascivious pleasing of a lute.,"['lascivious', 'pleasing', 'lute']",-0.894806070253253
Richard III,History,Gloucester,1,1,14,"But I, that am not shaped for sportive tricks,","['shaped', 'sportive', 'tricks']",-0.5204544384032488
Richard III,History,Gloucester,1,1,15,Nor made to court an amorous looking-glass;,"['made', 'court', 'amorous', 'looking-glass']",-0.06501942127943039
Richard III,History,Gloucester,1,1,16,"I, that am rudely stamp'd, and want love's majesty","['rudely', 'stamp', 'want', 'love', 'majesty']",-0.1597137302160263
Richard III,History,Gloucester,1,1,17,To strut before a wanton ambling nymph;,"['strut', 'wanton', 'ambling', 'nymph']",-0.06537748873233795
Richard III,History,Gloucester,1,1,18,"I, that am curtail'd of this fair proportion,","['curtail', 'fair', 'proportion']",-0.10121868550777435
Richard III,History,Gloucester,1,1,19,"Cheated of feature by dissembling nature,","['Cheated', 'feature', 'dissembling', 'nature']",-0.5785349998623133
Richard III,History,Gloucester,1,1,20,"Deformed, unfinish'd, sent before my time","['Deformed', 'unfinish', 'sent', 'time']",-0.7001685332506895
Richard III,History,Gloucester,1,1,21,"Into this breathing world, scarce half made up,","['breathing', 'world', 'scarce', 'half', 'made']",-0.11839225143194199
Richard III,History,Gloucester,1,1,22,And that so lamely and unfashionable,"['lamely', 'unfashionable']",-0.9306835941970348
Richard III,History,Gloucester,1,1,23,That dogs bark at me as I halt by them;,"['dogs', 'bark', 'halt']",-0.1324349194765091
Richard III,History,Gloucester,1,1,24,"Why, I, in this weak piping time of peace,","['weak', 'piping', 'time', 'peace']",-0.048420459032058716
Richard III,History,Gloucester,1,1,25,"Have no delight to pass away the time,","['delight', 'pass', 'away', 'time']",-0.24081414192914963
Richard III,History,Gloucester,1,1,26,Unless to spy my shadow in the sun,"['Unless', 'spy', 'shadow', 'sun']",-0.016745299100875854
Richard III,History,Gloucester,1,1,27,And descant on mine own deformity:,"['descant', 'deformity']",-0.23451552912592888
Richard III,History,Gloucester,1,1,28,"And therefore, since I cannot prove a lover,","['therefore', 'since', 'prove', 'lover']",-0.3542848564684391
Richard III,History,Gloucester,1,1,29,"To entertain these fair well-spoken days,","['entertain', 'fair', 'well-spoken', 'days']",0.42386386543512344
Richard III,History,Gloucester,1,1,30,I am determined to prove a villain,"['determined', 'prove', 'villain']",0.1297190636396408
Richard III,History,Gloucester,1,1,31,And hate the idle pleasures of these days.,"['hate', 'idle', 'pleasures', 'days']",-0.7605207040905952
Richard III,History,Gloucester,1,1,32,"Plots have I laid, inductions dangerous,","['Plots', 'laid', 'inductions', 'dangerous']",-0.5470090955495834
Richard III,History,Gloucester,1,1,33,"By drunken prophecies, libels and dreams,","['drunken', 'prophecies', 'libels', 'dreams']",-0.6530829891562462
Richard III,History,Gloucester,1,1,34,To set my brother Clarence and the king,"['set', 'brother', 'king']",0.03575551509857178
Richard III,History,Gloucester,1,1,35,In deadly hate the one against the other:,"['deadly', 'hate', 'one']",-0.7262277454137802
Richard III,History,Gloucester,1,1,36,And if King Edward be as true and just,"['King', 'Edward', 'true']",0.18257728591561317
Richard III,History,Gloucester,1,1,37,"As I am subtle, false and treacherous,","['subtle', 'false', 'treacherous']",-0.6168787609785795
Richard III,History,Gloucester,1,1,38,"This day should Clarence closely be mew'd up,","['day', 'closely', 'mew']",-0.10648755729198456
Richard III,History,Gloucester,1,1,39,"About a prophecy, which says that 'G'","['prophecy', 'says', 'G']",-0.033606383949518204
Richard III,History,Gloucester,1,1,40,Of Edward's heirs the murderer shall be.,"['Edward', 'heirs', 'murderer', 'shall']",-0.5407943380996585
Richard III,History,Gloucester,1,1,41,"Dive, thoughts, down to my soul: here","['Dive', 'thoughts', 'soul']",0.0026447325944900513
Richard III,History,Gloucester,1,1,42,Clarence comes.,['comes'],0.047667354345321655
Richard III,History,Gloucester,1,1,43,"Brother, good day; what means this armed guard","['Brother', 'good', 'day', 'means', 'armed', 'guard']",0.6232739202678204
Richard III,History,Gloucester,1,1,44,That waits upon your grace?,"['waits', 'upon', 'grace']",0.16062304750084877
Richard III,History,Clarence,1,1,45,His majesty,['majesty'],0.32891320064663887
Richard III,History,Clarence,1,1,46,"Tendering my person's safety, hath appointed","['Tendering', 'person', 'safety', 'appointed']",-0.019281137734651566
Richard III,History,Clarence,1,1,47,This conduct to convey me to the Tower.,"['conduct', 'convey', 'Tower']",0.02181900665163994
Richard III,History,Gloucester,1,1,48,Upon what cause?,"['Upon', 'cause']",-0.21810021065175533
Richard III,History,Clarence,1,1,49,Because my name is George.,"['name', 'George']",0.04694094508886337
Richard III,History,Gloucester,1,1,50,"Alack, my lord, that fault is none of yours;","['Alack', 'lord', 'fault', 'none']",-0.2927046865224838
Richard III,History,Gloucester,1,1,51,"He should, for that, commit your godfathers:","['commit', 'godfathers']",-0.44883914291858673
Richard III,History,Gloucester,1,1,52,"O, belike his majesty hath some intent","['belike', 'majesty', 'intent']",0.12596680223941803
Richard III,History,Gloucester,1,1,53,That you shall be new-christen'd in the Tower.,"['shall', 'new-christen', 'Tower']",0.08639301545917988
Richard III,History,Gloucester,1,1,54,"But what's the matter, Clarence?  may I know?","['matter', 'may', 'know']",-0.19633969478309155
Richard III,History,Clarence,1,1,55,"Yea, Richard, when I know; for I protest","['Yea', 'Richard', 'know', 'protest']",-0.3684204611927271
Richard III,History,Clarence,1,1,56,"As yet I do not: but, as I can learn,","['yet', 'learn']",-0.015820972621440887
Richard III,History,Clarence,1,1,57,He hearkens after prophecies and dreams;,"['hearkens', 'prophecies', 'dreams']",-0.0014701858162879944
