play_name,genre,character,act,scene,sentence,text,tokens
Richard III,History,Gloucester,1,1,1,Now is the winter of our discontent,"['winter', 'discontent']"
Richard III,History,Gloucester,1,1,2,Made glorious summer by this sun of York;,"['Made', 'glorious', 'summer', 'sun']"
Richard III,History,Gloucester,1,1,3,And all the clouds that lour'd upon our house,"['clouds', 'lour', 'upon', 'house']"
Richard III,History,Gloucester,1,1,4,In the deep bosom of the ocean buried.,"['deep', 'bosom', 'ocean', 'buried']"
Richard III,History,Gloucester,1,1,5,Now are our brows bound with victorious wreaths;,"['brows', 'bound', 'victorious', 'wreaths']"
Richard III,History,Gloucester,1,1,6,Our bruised arms hung up for monuments;,"['bruised', 'arms', 'hung', 'monuments']"
Richard III,History,Gloucester,1,1,7,"Our stern alarums changed to merry meetings,","['stern', 'alarums', 'changed', 'merry', 'meetings']"
Richard III,History,Gloucester,1,1,8,Our dreadful marches to delightful measures.,"['dreadful', 'marches', 'delightful', 'measures']"
Richard III,History,Gloucester,1,1,9,Grim-visaged war hath smooth'd his wrinkled front;,"['Grim-visaged', 'war', 'smooth', 'wrinkled', 'front']"
Richard III,History,Gloucester,1,1,10,"And now, instead of mounting barbed steeds","['instead', 'mounting', 'barbed', 'steeds']"
Richard III,History,Gloucester,1,1,11,"To fright the souls of fearful adversaries,","['fright', 'souls', 'fearful', 'adversaries']"
Richard III,History,Gloucester,1,1,12,He capers nimbly in a lady's chamber,"['capers', 'nimbly', 'lady', 'chamber']"
Richard III,History,Gloucester,1,1,13,To the lascivious pleasing of a lute.,"['lascivious', 'pleasing', 'lute']"
Richard III,History,Gloucester,1,1,14,"But I, that am not shaped for sportive tricks,","['shaped', 'sportive', 'tricks']"
Richard III,History,Gloucester,1,1,15,Nor made to court an amorous looking-glass;,"['made', 'court', 'amorous', 'looking-glass']"
Richard III,History,Gloucester,1,1,16,"I, that am rudely stamp'd, and want love's majesty","['rudely', 'stamp', 'want', 'love', 'majesty']"
Richard III,History,Gloucester,1,1,17,To strut before a wanton ambling nymph;,"['strut', 'wanton', 'ambling', 'nymph']"
Richard III,History,Gloucester,1,1,18,"I, that am curtail'd of this fair proportion,","['curtail', 'fair', 'proportion']"
Richard III,History,Gloucester,1,1,19,"Cheated of feature by dissembling nature,","['Cheated', 'feature', 'dissembling', 'nature']"
Richard III,History,Gloucester,1,1,20,"Deformed, unfinish'd, sent before my time","['Deformed', 'unfinish', 'sent', 'time']"
Richard III,History,Gloucester,1,1,21,"Into this breathing world, scarce half made up,","['breathing', 'world', 'scarce', 'half', 'made']"
Richard III,History,Gloucester,1,1,22,And that so lamely and unfashionable,"['lamely', 'unfashionable']"
Richard III,History,Gloucester,1,1,23,That dogs bark at me as I halt by them;,"['dogs', 'bark', 'halt']"
Richard III,History,Gloucester,1,1,24,"Why, I, in this weak piping time of peace,","['weak', 'piping', 'time', 'peace']"
Richard III,History,Gloucester,1,1,25,"Have no delight to pass away the time,","['delight', 'pass', 'away', 'time']"
Richard III,History,Gloucester,1,1,26,Unless to spy my shadow in the sun,"['Unless', 'spy', 'shadow', 'sun']"
Richard III,History,Gloucester,1,1,27,And descant on mine own deformity:,"['descant', 'deformity']"
Richard III,History,Gloucester,1,1,28,"And therefore, since I cannot prove a lover,","['therefore', 'since', 'prove', 'lover']"
Richard III,History,Gloucester,1,1,29,"To entertain these fair well-spoken days,","['entertain', 'fair', 'well-spoken', 'days']"
Richard III,History,Gloucester,1,1,30,I am determined to prove a villain,"['determined', 'prove', 'villain']"
Richard III,History,Gloucester,1,1,31,And hate the idle pleasures of these days.,"['hate', 'idle', 'pleasures', 'days']"
Richard III,History,Gloucester,1,1,32,"Plots have I laid, inductions dangerous,","['Plots', 'laid', 'inductions', 'dangerous']"
Richard III,History,Gloucester,1,1,33,"By drunken prophecies, libels and dreams,","['drunken', 'prophecies', 'libels', 'dreams']"
Richard III,History,Gloucester,1,1,34,To set my brother Clarence and the king,"['set', 'brother', 'king']"
Richard III,History,Gloucester,1,1,35,In deadly hate the one against the other:,"['deadly', 'hate', 'one']"
Richard III,History,Gloucester,1,1,36,And if King Edward be as true and just,"['King', 'Edward', 'true']"
Richard III,History,Gloucester,1,1,37,"As I am subtle, false and treacherous,","['subtle', 'false', 'treacherous']"
Richard III,History,Gloucester,1,1,38,"This day should Clarence closely be mew'd up,","['day', 'closely', 'mew']"
Richard III,History,Gloucester,1,1,39,"About a prophecy, which says that 'G'","['prophecy', 'says', 'G']"
Richard III,History,Gloucester,1,1,40,Of Edward's heirs the murderer shall be.,"['Edward', 'heirs', 'murderer', 'shall']"
Richard III,History,Gloucester,1,1,41,"Dive, thoughts, down to my soul: here","['Dive', 'thoughts', 'soul']"
Richard III,History,Gloucester,1,1,42,Clarence comes.,['comes']
Richard III,History,Gloucester,1,1,43,"Brother, good day; what means this armed guard","['Brother', 'good', 'day', 'means', 'armed', 'guard']"
Richard III,History,Gloucester,1,1,44,That waits upon your grace?,"['waits', 'upon', 'grace']"
Richard III,History,Clarence,1,1,45,His majesty,['majesty']
Richard III,History,Clarence,1,1,46,"Tendering my person's safety, hath appointed","['Tendering', 'person', 'safety', 'appointed']"
Richard III,History,Clarence,1,1,47,This conduct to convey me to the Tower.,"['conduct', 'convey', 'Tower']"
Richard III,History,Gloucester,1,1,48,Upon what cause?,"['Upon', 'cause']"
Richard III,History,Clarence,1,1,49,Because my name is George.,"['name', 'George']"
Richard III,History,Gloucester,1,1,50,"Alack, my lord, that fault is none of yours;","['Alack', 'lord', 'fault', 'none']"
Richard III,History,Gloucester,1,1,51,"He should, for that, commit your godfathers:","['commit', 'godfathers']"
Richard III,History,Gloucester,1,1,52,"O, belike his majesty hath some intent","['belike', 'majesty', 'intent']"
Richard III,History,Gloucester,1,1,53,That you shall be new-christen'd in the Tower.,"['shall', 'new-christen', 'Tower']"
Richard III,History,Gloucester,1,1,54,"But what's the matter, Clarence?  may I know?","['matter', 'may', 'know']"
Richard III,History,Clarence,1,1,55,"Yea, Richard, when I know; for I protest","['Yea', 'Richard', 'know', 'protest']"
Richard III,History,Clarence,1,1,56,"As yet I do not: but, as I can learn,","['yet', 'learn']"
Richard III,History,Clarence,1,1,57,He hearkens after prophecies and dreams;,"['hearkens', 'prophecies', 'dreams']"
Richard III,History,Clarence,1,1,58,And from the cross-row plucks the letter G.,"['cross-row', 'plucks', 'letter', 'G']"
Richard III,History,Clarence,1,1,59,And says a wizard told him that by G,"['says', 'wizard', 'told', 'G']"
Richard III,History,Clarence,1,1,60,His issue disinherited should be;,"['issue', 'disinherited']"
Richard III,History,Clarence,1,1,61,"And, for my name of George begins with G,","['name', 'George', 'begins', 'G']"
Richard III,History,Clarence,1,1,62,It follows in his thought that I am he.,"['follows', 'thought']"
Richard III,History,Clarence,1,1,63,"These, as I learn, and such like toys as these","['learn', 'like', 'toys']"
Richard III,History,Clarence,1,1,64,Have moved his highness to commit me now.,"['moved', 'highness', 'commit']"
Richard III,History,Gloucester,1,1,65,"Why, this it is, when men are ruled by women:","['men', 'ruled', 'women']"
Richard III,History,Gloucester,1,1,66,'Tis not the king that sends you to the Tower:,"[""'T"", 'king', 'sends', 'Tower']"
Richard III,History,Gloucester,1,1,67,"My Lady Grey his wife, Clarence, 'tis she","['Lady', 'wife', ""'t""]"
Richard III,History,Gloucester,1,1,68,That tempers him to this extremity.,"['tempers', 'extremity']"
Richard III,History,Gloucester,1,1,69,"Was it not she and that good man of worship,","['good', 'man', 'worship']"
Richard III,History,Gloucester,1,1,70,"Anthony Woodville, her brother there,","['Anthony', 'Woodville', 'brother']"
Richard III,History,Gloucester,1,1,71,"That made him send Lord Hastings to the Tower,","['made', 'send', 'Lord', 'Tower']"
Richard III,History,Gloucester,1,1,72,From whence this present day he is deliver'd?,"['present', 'day', 'deliver']"
Richard III,History,Gloucester,1,1,73,"We are not safe, Clarence; we are not safe.","['safe', 'safe']"
Richard III,History,Clarence,1,1,74,"By heaven, I think there's no man is secure","['heaven', 'think', 'man', 'secure']"
Richard III,History,Clarence,1,1,75,But the queen's kindred and night-walking heralds,"['queen', 'kindred', 'night-walking', 'heralds']"
Richard III,History,Clarence,1,1,76,That trudge betwixt the king and Mistress Shore.,"['trudge', 'betwixt', 'king', 'Mistress', 'Shore']"
Richard III,History,Clarence,1,1,77,Heard ye not what an humble suppliant,"['Heard', 'humble', 'suppliant']"
Richard III,History,Clarence,1,1,78,Lord hastings was to her for his delivery?,"['Lord', 'hastings', 'delivery']"
