play_name,genre,character,act,scene,sentence,text,tokens,sentiment_score
Richard III,History,Gloucester,1,1,1,Now is the winter of our discontent,"['winter', 'discontent']",0.0
Richard III,History,Gloucester,1,1,2,Made glorious summer by this sun of York;,"['Made', 'glorious', 'summer', 'sun']",0.6369
Richard III,History,Gloucester,1,1,3,And all the clouds that lour'd upon our house,"['clouds', 'lour', 'upon', 'house']",0.0
Richard III,History,Gloucester,1,1,4,In the deep bosom of the ocean buried.,"['deep', 'bosom', 'ocean', 'buried']",0.0
Richard III,History,Gloucester,1,1,5,Now are our brows bound with victorious wreaths;,"['brows', 'bound', 'victorious', 'wreaths']",0.0
Richard III,History,Gloucester,1,1,6,Our bruised arms hung up for monuments;,"['bruised', 'arms', 'hung', 'monuments']",0.0
Richard III,History,Gloucester,1,1,7,"Our stern alarums changed to merry meetings,","['stern', 'alarums', 'changed', 'merry', 'meetings']",0.5423
Richard III,History,Gloucester,1,1,8,Our dreadful marches to delightful measures.,"['dreadful', 'marches', 'delightful', 'measures']",0.2263
Richard III,History,Gloucester,1,1,9,Grim-visaged war hath smooth'd his wrinkled front;,"['Grim-visaged', 'war', 'smooth', 'wrinkled', 'front']",-0.5994
Richard III,History,Gloucester,1,1,10,"And now, instead of mounting barbed steeds","['instead', 'mounting', 'barbed', 'steeds']",0.0
Richard III,History,Gloucester,1,1,11,"To fright the souls of fearful adversaries,","['fright', 'souls', 'fearful', 'adversaries']",-0.7783
Richard III,History,Gloucester,1,1,12,He capers nimbly in a lady's chamber,"['capers', 'nimbly', 'lady', 'chamber']",0.0
Richard III,History,Gloucester,1,1,13,To the lascivious pleasing of a lute.,"['lascivious', 'pleasing', 'lute']",0.5267
Richard III,History,Gloucester,1,1,14,"But I, that am not shaped for sportive tricks,","['shaped', 'sportive', 'tricks']",-0.1901
Richard III,History,Gloucester,1,1,15,Nor made to court an amorous looking-glass;,"['made', 'court', 'amorous', 'looking-glass']",0.4215
Richard III,History,Gloucester,1,1,16,"I, that am rudely stamp'd, and want love's majesty","['rudely', 'stamp', 'want', 'love', 'majesty']",-0.4404
Richard III,History,Gloucester,1,1,17,To strut before a wanton ambling nymph;,"['strut', 'wanton', 'ambling', 'nymph']",0.0
Richard III,History,Gloucester,1,1,18,"I, that am curtail'd of this fair proportion,","['curtail', 'fair', 'proportion']",0.3869
Richard III,History,Gloucester,1,1,19,"Cheated of feature by dissembling nature,","['Cheated', 'feature', 'dissembling', 'nature']",-0.5106
Richard III,History,Gloucester,1,1,20,"Deformed, unfinish'd, sent before my time","['Deformed', 'unfinish', 'sent', 'time']",0.0
Richard III,History,Gloucester,1,1,21,"Into this breathing world, scarce half made up,","['breathing', 'world', 'scarce', 'half', 'made']",0.0
Richard III,History,Gloucester,1,1,22,And that so lamely and unfashionable,"['lamely', 'unfashionable']",-0.5949
Richard III,History,Gloucester,1,1,23,That dogs bark at me as I halt by them;,"['dogs', 'bark', 'halt']",0.0
Richard III,History,Gloucester,1,1,24,"Why, I, in this weak piping time of peace,","['weak', 'piping', 'time', 'peace']",0.0323
Richard III,History,Gloucester,1,1,25,"Have no delight to pass away the time,","['delight', 'pass', 'away', 'time']",-0.4847
Richard III,History,Gloucester,1,1,26,Unless to spy my shadow in the sun,"['Unless', 'spy', 'shadow', 'sun']",0.0
Richard III,History,Gloucester,1,1,27,And descant on mine own deformity:,"['descant', 'deformity']",0.0
Richard III,History,Gloucester,1,1,28,"And therefore, since I cannot prove a lover,","['therefore', 'since', 'prove', 'lover']",-0.4717
Richard III,History,Gloucester,1,1,29,"To entertain these fair well-spoken days,","['entertain', 'fair', 'well-spoken', 'days']",0.5574
Richard III,History,Gloucester,1,1,30,I am determined to prove a villain,"['determined', 'prove', 'villain']",-0.296
Richard III,History,Gloucester,1,1,31,And hate the idle pleasures of these days.,"['hate', 'idle', 'pleasures', 'days']",-0.2023
Richard III,History,Gloucester,1,1,32,"Plots have I laid, inductions dangerous,","['Plots', 'laid', 'inductions', 'dangerous']",-0.4767
Richard III,History,Gloucester,1,1,33,"By drunken prophecies, libels and dreams,","['drunken', 'prophecies', 'libels', 'dreams']",0.4019
Richard III,History,Gloucester,1,1,34,To set my brother Clarence and the king,"['set', 'brother', 'king']",0.0
Richard III,History,Gloucester,1,1,35,In deadly hate the one against the other:,"['deadly', 'hate', 'one']",-0.5719
Richard III,History,Gloucester,1,1,36,And if King Edward be as true and just,"['King', 'Edward', 'true']",0.4215
Richard III,History,Gloucester,1,1,37,"As I am subtle, false and treacherous,","['subtle', 'false', 'treacherous']",0.0
Richard III,History,Gloucester,1,1,38,"This day should Clarence closely be mew'd up,","['day', 'closely', 'mew']",0.0
